id,year,category,nominee,staff,company,producer,win
1,2019, Character Voice-Over Performance,The Simpsons,"Hank Azaria, as Moe, Carl, Duffman, Kirk",FOX,Gracie Films in association with 20th Century Fox Television,False
2,2019, Character Voice-Over Performance,Family Guy,"Alex Borstein, as Lois Griffin, Tricia Takanawa",FOX,20th Century Fox Television,False
3,2019, Character Voice-Over Performance,When You Wish Upon A Pickle: A Sesame Street Special,"Eric Jacobson, as Bert, Grover, Oscar",HBO,Sesame Street Workshop,False
4,2019, Character Voice-Over Performance,F Is For Family,"Kevin Michael Richardson, as Rosie",Netflix,Wild West Television in association with Gaumont Television,False
22,2019, Casting For A Comedy Series,Barry,"Sherry Thomas, CSA, Casting by Sharon Bialy, CSA, Casting by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
23,2019, Casting For A Comedy Series,The Marvelous Mrs. Maisel,"Cindy Tolan, Casting by",Prime Video,Amazon Studios,False
24,2019, Casting For A Comedy Series,Russian Doll,"Christine Kromer, CSA, Casting by",Netflix,"Universal Television in association with Jax Media, Paper Kite Productions, 3 Arts Entertainment, Shoot to Midnight, Avenue A",False
25,2019, Casting For A Comedy Series,Veep,"Dorian Frankel, CSA, Casting by Sibby Kirchgessner, CSA, Casting by",HBO,HBO Entertainment,False
26,2019, Casting For A Drama Series,Killing Eve,"Suzanne Crowley, Casting by Gilly Poole, Casting by",BBC America,Sid Gentle Films Ltd.,False
27,2019, Casting For A Drama Series,Ozark,"Alexa L. Fogel, CSA, Casting by Tara Feldstein Bennett, CSA, Location Casting Chase Paris, CSA, Location Casting",Netflix,Media Rights Capital,False
28,2019, Casting For A Drama Series,Pose,"Alexa L. Fogel, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,False
29,2019, Casting For A Drama Series,Succession,"Francine Maisler, CSA, Original Casting by Douglas Aibel, CSA, Casting by Henry Russell Bergstein, CSA, Casting by",HBO,HBO Entertainment in association with Project Zeus and Gary Sanchez Productions,False
30,2019," Casting For A Limited Series, Movie Or Special",Escape At Dannemora,"Rachel Tenner, CSA, Casting by",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
31,2019," Casting For A Limited Series, Movie Or Special",Fosse/Verdon,"Bernie Telsey, CSA, Casting by Tiffany Little Canfield, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,False
32,2019," Casting For A Limited Series, Movie Or Special",Sharp Objects,"David Rubin, Casting by",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",False
45,2019, Cinematography For A Limited Series Or Movie,Deadwood: The Movie,"David Klein, ASC, Director of Photography",HBO,HBO Films in association with Red Board and The Mighty Mint,False
46,2019, Cinematography For A Nonfiction Program,Anthony Bourdain Parts Unknown,"Morgan Fallon, Director of Photography Todd Liebler, Director of Photography Zach Zamboni, Director of Photography",CNN,"CNN Original Series, Zero Point Zero Production, Inc.",False
47,2019, Cinematography For A Nonfiction Program,Our Planet,"Doug Anderson, Director of Photography Gavin Thurston, Director of Photography",Netflix,Silverback Films,False
48,2019, Cinematography For A Nonfiction Program,Our Planet,"Alastair MacEwen, Director of Photography Matt Aeberhard, Director of Photography",Netflix,Silverback Films,False
49,2019, Cinematography For A Nonfiction Program,Our Planet,"Jamie McPherson, Director of Photography Roger Horrocks, Director of Photography",Netflix,Silverback Films,False
65,2019, Directing For A Comedy Series,Barry,"Alec Berg, Directed by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
66,2019, Directing For A Comedy Series,Barry,"Bill Hader, Directed by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
67,2019, Directing For A Comedy Series,The Big Bang Theory,"Mark Cendrowski, Directed by",CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",False
68,2019, Directing For A Comedy Series,The Marvelous Mrs. Maisel,"Amy Sherman-Palladino, Directed by",Prime Video,Amazon Studios,False
69,2019, Directing For A Comedy Series,The Marvelous Mrs. Maisel,"Daniel Palladino, Directed by",Prime Video,Amazon Studios,False
70,2019, Directing For A Drama Series,Game Of Thrones,"David Benioff, Directed by D.B. Weiss, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
71,2019, Directing For A Drama Series,Game Of Thrones,"David Nutter, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
