year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False
1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,False
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,True
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,False
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
1928,1929,2,ACTOR,Chester Morris,Alibi,False
1928,1929,2,ACTOR,Paul Muni,The Valiant,False
1928,1929,2,ACTOR,Lewis Stone,The Patriot,False
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False
1928,1929,2,ACTRESS,Betty Compson,The Barker,False
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False
1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,False
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,False
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,False
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,False
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,False
1928,1929,2,WRITING,Elliott Clawson,The Cop;,False
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,False
1928,1929,2,WRITING,Hans Kraly,The Patriot,True
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,False
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,False
1929,1930,3,ACTOR,George Arliss,Disraeli,True
1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
1929,1930,3,ACTOR,Wallace Beery,The Big House,False
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
