id,year,category,nominee,staff,company,producer,win
1,2019, Character Voice-Over Performance,The Simpsons,"Hank Azaria, as Moe, Carl, Duffman, Kirk",FOX,Gracie Films in association with 20th Century Fox Television,False
2,2019, Character Voice-Over Performance,Family Guy,"Alex Borstein, as Lois Griffin, Tricia Takanawa",FOX,20th Century Fox Television,False
3,2019, Character Voice-Over Performance,When You Wish Upon A Pickle: A Sesame Street Special,"Eric Jacobson, as Bert, Grover, Oscar",HBO,Sesame Street Workshop,False
4,2019, Character Voice-Over Performance,F Is For Family,"Kevin Michael Richardson, as Rosie",Netflix,Wild West Television in association with Gaumont Television,False
5,2019, Production Design For A Narrative Contemporary Program (One Hour Or More),Escape At Dannemora,"Mark Ricker, Production Designer James Truesdale, Art Director Cherish M. Hale, Set Decorator",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
6,2019, Production Design For A Narrative Contemporary Program (One Hour Or More),Killing Eve,"Laurence Dorman, Production Designer Beckie Harvey, Art Director Linda Wilson, Set Decorator",BBC America,Sid Gentle Films Ltd.,False
7,2019, Production Design For A Narrative Contemporary Program (One Hour Or More),Ozark,"Derek R. Hill, Production Designer John Richardson, Art Director Kim Leoleis, Set Decorator",Netflix,Media Rights Capital,False
8,2019, Production Design For A Narrative Contemporary Program (One Hour Or More),The Umbrella Academy,"Mark Worthington, Production Designer Mark Steel, Art Director Jim Lambie, Set Decorator",Netflix,UCP,False
9,2019, Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),Game Of Thrones,"Deborah Riley, Production Designer Paul Ghirardani, Art Director Rob Cameron, Set Decorator",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
10,2019, Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Man In The High Castle,"Drew Boughton, Production Designer Dean O'Dell, Art Director Jonathan Lancaster, Set Decorator Lisa Lancaster, Set Decorator",Prime Video,Amazon Studios,False
11,2019, Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Marvelous Mrs. Maisel,"Bill Groom, Production Designer Neil Prince, Art Director Ellen Christiansen, Set Decorator",Prime Video,Amazon Studios,False
12,2019, Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),A Series Of Unfortunate Events,"Bo Welch, Production Designer Don MacAulay, Art Director Kate Marshall, Set Decorator",Netflix,A Netflix Original Production,False
13,2019, Production Design For A Narrative Program (Half-Hour),Barry,"Tyler B. Robinson, Production Designer Eric Schoonover, Art Director Rachael Ferrara, Set Decorator",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
14,2019, Production Design For A Narrative Program (Half-Hour),Veep,"Jim Gloster, Production Designer Andrew Leitch, Art Director Kimberly Wannop, SDSA, Set Decorator David Smith, Set Decorator",HBO,HBO Entertainment,False
15,2019, Production Design For A Narrative Program (Half-Hour),Will & Grace,"Glenda Rovello, Production Designer Conny Marinos, Art Director Peter Gurski, SDSA, Set Decorator",NBC,Universal Television in association with KoMut Entertainment and Three Princesses and a P,False
16,2019," Production Design For A Variety, Reality Or Competition Series",At Home With Amy Sedaris,"Jason Singleton, Production Designer Naomi Munro, Art Director Kim Fischer, Set Decorator",truTV,A truTV production in association with A24,False
17,2019," Production Design For A Variety, Reality Or Competition Series",Last Week Tonight With John Oliver,"Eric Morrell, Production Designer Ipek Celik, Set Decorator",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,False
18,2019," Production Design For A Variety, Reality Or Competition Series",Queer Eye,"Thomas Rouse, Production Designer",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",False
19,2019, Production Design For A Variety Special,The 61st Grammy Awards,"Brian Stonestreet, Production Designer Kristen Merlino, Art Director Gloria Lamb, Art Director",CBS,"AEG Ehrlich Ventures, LLC",False
20,2019, Production Design For A Variety Special,Homecoming: A Film By Beyoncé,"Ric Lipson, Production Designer Rachel Duncan, Production Designer Andrew Makadsi, Art Director",Netflix,Parkwood Entertainment,False
21,2019, Production Design For A Variety Special,The Oscars,"David Korins, Production Designer Alana Billingsley, Art Director",ABC,The Academy of Motion Picture Arts and Sciences,False
22,2019, Casting For A Comedy Series,Barry,"Sherry Thomas, CSA, Casting by Sharon Bialy, CSA, Casting by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
23,2019, Casting For A Comedy Series,The Marvelous Mrs. Maisel,"Cindy Tolan, Casting by",Prime Video,Amazon Studios,False
