nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination
Meryl Streep,21,0,7,32
Woody Allen,18,0,1,7
Katharine Hepburn,12,0,2,8
William Wyler,12,0,0,5
Jack Nicholson,12,0,1,17
Bette Davis,11,0,0,3
Martin Scorsese,10,0,0,9
Laurence Olivier,10,0,6,5
Spencer Tracy,9,0,0,4
Al Pacino,9,0,1,18
Denzel Washington,9,0,0,9
Paul Newman,9,0,0,11
Steven Spielberg,9,0,2,12
Glenn Close,8,0,2,13
Judi Dench,8,0,5,12
Ingmar Bergman,8,0,0,1
David Lean,8,0,1,4
Peter O'Toole,8,0,3,10
Cate Blanchett,8,0,1,10
Jack Lemmon,8,0,0,22
Robert De Niro,8,0,1,9
Marlon Brando,8,0,1,6
Billy Wilder,8,0,0,5
Geraldine Page,8,0,0,9
John Huston,8,0,0,7
Richard Burton,7,0,3,6
Jeff Bridges,7,0,0,5
Fred Zinnemann,7,0,0,7
Joseph L. Mankiewicz,7,0,0,2
Ingrid Bergman,7,0,0,8
Robert Duvall,7,0,0,7
Jane Fonda,7,0,4,11
Greer Garson,7,0,0,1
Richard Brooks,7,0,0,2
Dustin Hoffman,7,0,1,12
Kate Winslet,7,0,1,11
Vanessa Redgrave,6,0,2,13
Elia Kazan,6,0,0,4
Frances McDormand,6,0,2,6
Deborah Kerr,6,0,4,4
Maggie Smith,6,0,9,11
Frank Capra,6,0,0,1
Robert Benton,6,0,1,1
Clint Eastwood,6,0,0,7
Jessica Lange,6,0,1,15
Leonardo DiCaprio,6,0,2,12
Tom Hanks,6,0,2,10
Anthony Hopkins,6,0,3,7
Michael Caine,6,0,3,12
Sissy Spacek,6,0,2,7
Amy Adams,6,0,1,9
Thelma Ritter,6,0,0,3
Ellen Burstyn,6,0,1,7
Norma Shearer,6,0,0,0
Paul Muni,6,0,0,0
Stanley Kubrick,6,0,1,4
Jodie Foster,5,0,2,7
Oliver Stone,5,0,0,4
Gene Hackman,5,0,1,8
Gregory Peck,5,0,0,6
Nicole Kidman,5,0,1,14
Sean Penn,5,0,0,5
Elizabeth Taylor,5,0,2,4
George Cukor,5,0,0,3
Susan Hayward,5,0,0,2
Kenneth Branagh,5,0,1,4
Gary Cooper,5,0,0,2
Warren Beatty,5,0,0,8
Albert Finney,5,0,3,8
Anne Bancroft,5,0,5,8
Michelle Williams,5,0,0,6
Paul Thomas Anderson,5,0,0,0
James Stewart,5,0,0,3
Alfred Hitchcock,5,0,0,1
Robert Altman,5,0,0,4
George Clooney,5,0,0,10
Olivia de Havilland,5,0,0,3
Michael Curtiz,5,0,0,0
Susan Sarandon,5,0,2,9
Arthur Kennedy,5,0,0,2
King Vidor,5,0,0,1
Emma Thompson,5,0,4,9
Alec Guinness,5,0,3,3
Fredric March,5,0,0,3
George Seaton,5,0,0,0
Morgan Freeman,5,0,0,5
Irene Dunne,5,0,0,0
George Stevens,5,0,0,3
Annette Bening,5,0,2,9
Jennifer Jones,5,0,0,2
Peter Weir,5,0,0,4
Carl Foreman,5,0,0,0
Shirley MacLaine,5,0,4,18
John Ford,5,0,0,1
Bradley Cooper,5,0,1,4
Audrey Hepburn,5,0,5,9
Daniel Day-Lewis,5,0,4,8
Leo McCarey,5,0,0,1
Julianne Moore,5,0,0,9
Clarence Brown,5,0,0,0
Joanne Woodward,4,0,2,10
Philip Seymour Hoffman,4,0,0,5
Claude Rains,4,0,0,0
