nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination,director_count,writer_count,actor_count
Meryl Streep,21,0,7,32,0,0,45
Woody Allen,18,0,1,7,45,45,27
Katharine Hepburn,12,0,2,8,0,0,8
William Wyler,12,0,0,5,5,0,0
Jack Nicholson,12,0,1,17,1,0,30
Bette Davis,11,0,0,3,0,0,10
Martin Scorsese,10,0,0,9,25,3,5
Laurence Olivier,10,0,6,5,0,0,12
Spencer Tracy,9,0,0,4,0,0,9
Al Pacino,9,0,1,18,0,0,36
Denzel Washington,9,0,0,9,3,0,42
Paul Newman,9,0,0,11,1,1,18
Steven Spielberg,9,0,2,12,31,4,0
Glenn Close,8,0,2,13,0,0,28
Judi Dench,8,0,5,12,0,0,30
Ingmar Bergman,8,0,0,1,6,7,0
David Lean,8,0,1,4,6,1,0
Peter O'Toole,8,0,3,10,0,0,18
Cate Blanchett,8,0,1,10,0,0,39
Jack Lemmon,8,0,0,22,0,0,19
Robert De Niro,8,0,1,9,2,0,79
Marlon Brando,8,0,1,6,1,0,17
Billy Wilder,8,0,0,5,12,12,0
Geraldine Page,8,0,0,9,0,0,8
John Huston,8,0,0,7,13,4,5
Richard Burton,7,0,3,6,0,0,9
Jeff Bridges,7,0,0,5,0,0,47
Fred Zinnemann,7,0,0,7,6,0,0
Joseph L. Mankiewicz,7,0,0,2,6,4,0
Ingrid Bergman,7,0,0,8,0,0,6
Robert Duvall,7,0,0,7,1,1,44
Jane Fonda,7,0,4,11,0,0,19
Greer Garson,7,0,0,1,0,0,1
Richard Brooks,7,0,0,2,3,2,7
Dustin Hoffman,7,0,1,12,2,0,35
Kate Winslet,7,0,1,11,0,0,31
Vanessa Redgrave,6,0,2,13,0,0,23
Elia Kazan,6,0,0,4,2,0,0
Frances McDormand,6,0,2,6,0,0,26
Deborah Kerr,6,0,4,4,0,0,6
Maggie Smith,6,0,9,11,0,0,27
Frank Capra,6,0,0,1,4,0,0
Robert Benton,6,0,1,1,9,7,0
Clint Eastwood,6,0,0,7,36,0,45
Jessica Lange,6,0,1,15,0,0,21
Leonardo DiCaprio,6,0,2,12,0,0,26
Tom Hanks,6,0,2,10,2,2,45
Anthony Hopkins,6,0,3,7,1,1,49
Michael Caine,6,0,3,12,0,0,63
Sissy Spacek,6,0,2,7,0,0,22
Amy Adams,6,0,1,9,0,0,31
Thelma Ritter,6,0,0,3,0,0,3
Ellen Burstyn,6,0,1,7,0,0,25
Norma Shearer,6,0,0,0,0,0,3
Paul Muni,6,0,0,0,0,0,0
Stanley Kubrick,6,0,1,4,10,8,0
Jodie Foster,5,0,2,7,4,0,22
Oliver Stone,5,0,0,4,19,13,1
Gene Hackman,5,0,1,8,0,0,50
Gregory Peck,5,0,0,6,0,0,11
Nicole Kidman,5,0,1,14,0,0,47
Sean Penn,5,0,0,5,4,3,36
Elizabeth Taylor,5,0,2,4,0,1,10
George Cukor,5,0,0,3,7,0,0
Susan Hayward,5,0,0,2,0,0,5
Kenneth Branagh,5,0,1,4,14,6,19
Gary Cooper,5,0,0,2,0,0,5
Warren Beatty,5,0,0,8,4,5,8
Albert Finney,5,0,3,8,0,0,18
Anne Bancroft,5,0,5,8,0,0,20
Michelle Williams,5,0,0,6,0,0,25
Paul Thomas Anderson,5,0,0,0,8,8,0
James Stewart,5,0,0,3,0,0,11
Alfred Hitchcock,5,0,0,1,15,1,0
Robert Altman,5,0,0,4,20,5,0
George Clooney,5,0,0,10,6,3,32
Olivia de Havilland,5,0,0,3,0,0,3
Michael Curtiz,5,0,0,0,5,0,0
Susan Sarandon,5,0,2,9,0,0,50
Arthur Kennedy,5,0,0,2,0,0,7
King Vidor,5,0,0,1,3,0,1
Emma Thompson,5,0,4,9,0,5,27
Alec Guinness,5,0,3,3,0,0,15
Fredric March,5,0,0,3,0,0,4
George Seaton,5,0,0,0,2,2,0
Morgan Freeman,5,0,0,5,1,0,68
Irene Dunne,5,0,0,0,0,0,2
George Stevens,5,0,0,3,3,0,0
Annette Bening,5,0,2,9,0,0,28
Jennifer Jones,5,0,0,2,0,0,6
Peter Weir,5,0,0,4,10,4,3
Carl Foreman,5,0,0,0,0,1,0
Shirley MacLaine,5,0,4,18,0,0,20
John Ford,5,0,0,1,6,0,2
Bradley Cooper,5,0,1,4,1,1,29
Audrey Hepburn,5,0,5,9,0,0,8
Daniel Day-Lewis,5,0,4,8,0,0,14
Leo McCarey,5,0,0,1,1,1,0
Julianne Moore,5,0,0,9,0,0,50
Clarence Brown,5,0,0,0,5,0,0
Joanne Woodward,4,0,2,10,0,0,5
Philip Seymour Hoffman,4,0,0,5,0,0,36
Claude Rains,4,0,0,0,0,0,5
Montgomery Clift,4,0,0,1,0,0,5
Maureen Stapleton,4,0,0,5,0,0,13
William Hurt,4,0,1,5,0,0,41
Jane Wyman,4,0,0,4,0,0,2
Francis Ford Coppola,4,0,1,6,19,13,0
Mickey Rooney,4,0,0,2,0,0,17
Mike Nichols,4,0,0,5,16,0,0
Joaquin Phoenix,4,0,2,6,0,0,25
Sidney Lumet,4,0,0,6,17,2,0
Geoffrey Rush,4,0,1,6,0,0,25
Barbara Stanwyck,4,0,0,4,0,0,9
Mike Leigh,4,0,0,0,7,7,0
Ben Hecht,4,0,0,0,0,6,0
Paddy Chayefsky,4,0,2,0,0,2,0
Jennifer Lawrence,4,0,0,4,0,0,20
Anthony Quinn,4,0,0,5,0,0,15
Ethel Barrymore,4,0,0,0,0,0,1
Saoirse Ronan,4,0,3,4,0,0,19
Kathy Bates,4,0,1,8,0,0,44
Emma Stone,4,0,1,5,0,0,20
Jane Alexander,4,0,0,2,0,0,13
Burt Lancaster,4,0,0,5,0,0,14
Glenda Jackson,4,0,3,8,0,0,3
Lee Grant,4,0,0,5,1,0,13
Christian Bale,4,0,1,5,0,0,38
Shelley Winters,4,0,0,6,0,0,15
Agnes Moorehead,4,0,0,2,0,0,3
Rosalind Russell,4,0,0,5,0,0,2
Tommy Lee Jones,4,0,2,4,2,1,36
Penélope Cruz,4,0,0,4,0,0,25
Jon Voight,4,0,0,10,0,1,34
Julia Roberts,4,0,2,9,0,0,36
Ed Harris,4,0,0,6,2,1,77
Roman Polanski,4,0,0,2,15,8,2
Brad Pitt,4,0,0,6,0,0,43
Neil Simon,4,0,2,0,0,12,0
William Rose,4,0,1,0,0,5,4
Holly Hunter,4,0,2,7,0,0,26
Marsha Mason,4,0,1,4,0,0,6
Viola Davis,4,0,1,5,0,0,24
Mark Ruffalo,4,0,0,3,1,0,38
Diane Keaton,4,0,3,9,1,0,34
Charles Boyer,4,0,0,1,0,0,8
Helen Mirren,4,0,2,16,0,0,37
Norman Krasna,4,0,0,0,0,2,0
Ben Kingsley,4,0,1,7,0,0,48
Walter Brennan,4,0,0,0,0,0,9
Willem Dafoe,4,0,0,3,0,0,64
Federico Fellini,4,0,0,0,5,5,0
Robin Williams,4,0,2,10,0,0,44
Julie Christie,4,0,5,3,0,0,15
Alan Arkin,4,0,0,7,0,0,32
George C. Scott,4,0,0,5,0,0,14
Robert Riskin,4,0,0,0,0,1,0
Barry Levinson,4,0,0,2,21,8,2
Frank Lloyd,4,0,0,0,3,1,0
Walter Huston,4,0,0,1,0,0,5
Renée Zellweger,4,0,1,7,0,0,25
Javier Bardem,4,0,0,4,0,0,20
Anjelica Huston,3,0,3,8,2,0,31
Rod Steiger,3,0,0,2,0,0,22
Sylvester Stallone,3,0,1,2,7,16,49
Ryan Gosling,3,0,1,5,1,1,21
Peter Ustinov,3,0,0,3,0,0,12
Laura Dern,3,0,1,8,0,0,30
Milos Forman,3,0,0,4,7,1,4
Written by Woody Allen,3,0,0,0,0,0,0
James Mason,3,0,2,3,0,0,13
Greta Garbo,3,0,0,0,0,0,1
George Lucas,3,0,0,2,6,14,0
Gary Oldman,3,0,2,1,1,1,43
Tom Cruise,3,0,1,7,0,1,38
Jason Robards,3,0,0,0,0,0,20
Bernardo Bertolucci,3,0,0,3,9,6,0
David Fincher,3,0,0,3,10,0,0
Preston Sturges,3,0,0,0,2,5,0
Ronald Colman,3,0,0,1,0,0,6
James L. Brooks,3,0,0,3,6,6,1
Sigourney Weaver,3,0,1,7,0,0,44
Claudette Colbert,3,0,0,1,0,0,2
Dalton Trumbo,3,0,0,0,1,8,1
Joan Allen,3,0,1,3,0,0,22
William Powell,3,0,0,0,0,0,2
Joan Crawford,3,0,0,1,0,0,9
Charles Coburn,3,0,0,0,0,0,6
John Schlesinger,3,0,0,3,10,0,0
Clark Gable,3,0,0,2,0,0,2
Carol Reed,3,0,0,1,1,0,0
Dame Edith Evans,3,0,0,0,0,0,0
Teresa Wright,3,0,0,0,0,0,4
Charles Laughton,3,0,0,1,1,0,4
Stanley Kramer,3,0,0,5,5,0,0
Robert Rossen,3,0,0,1,0,1,0
Marcello Mastroianni,3,0,0,4,0,0,9
