LOCATION;Country;Subject.1;Measure.1;FREQUENCY;Frequency.1;TIME;Time.1;Reference Period Code;Value
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q1;Q1-1998;2015_100;7168889
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q2;Q2-1998;2015_100;7228011
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q3;Q3-1998;2015_100;7243082
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q4;Q4-1998;2015_100;7274382
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q1;Q1-1999;2015_100;7313797
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q2;Q2-1999;2015_100;7392627
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q3;Q3-1999;2015_100;7434361
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q4;Q4-1999;2015_100;7495802
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q1;Q1-2000;2015_100;7542929
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q2;Q2-2000;2015_100;7629337
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q3;Q3-2000;2015_100;7636961
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q4;Q4-2000;2015_100;768779
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q1;Q1-2001;2015_100;7723333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q2;Q2-2001;2015_100;7823333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q3;Q3-2001;2015_100;782
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q4;Q4-2001;2015_100;7843333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q1;Q1-2002;2015_100;7916666
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q2;Q2-2002;2015_100;80
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q3;Q3-2002;2015_100;80
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q4;Q4-2002;2015_100;805
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q1;Q1-2003;2015_100;8133334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q2;Q2-2003;2015_100;8183334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q3;Q3-2003;2015_100;8146667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q4;Q4-2003;2015_100;8166666
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q1;Q1-2004;2015_100;821
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q2;Q2-2004;2015_100;8273333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q3;Q3-2004;2015_100;8243333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q4;Q4-2004;2015_100;828
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q1;Q1-2005;2015_100;831
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q2;Q2-2005;2015_100;8413333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q3;Q3-2005;2015_100;843
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q4;Q4-2005;2015_100;8453333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q1;Q1-2006;2015_100;8483334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q2;Q2-2006;2015_100;8583334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q3;Q3-2006;2015_100;859
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q4;Q4-2006;2015_100;8596667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q1;Q1-2007;2015_100;8643333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q2;Q2-2007;2015_100;872
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q3;Q3-2007;2015_100;8686667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q4;Q4-2007;2015_100;8783334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q1;Q1-2008;2015_100;8906667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q2;Q2-2008;2015_100;9026667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q3;Q3-2008;2015_100;905
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q4;Q4-2008;2015_100;904
