duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
88.0,175700.3,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama",English,Other,11,2
59.0,3013850.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,10,2
77.0,521727.6,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, History, War",English,Other,11,0
50.0,5598468.6,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,4,2
300.0,10802441.1,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Crime",French,Other,1,0
60.0,5063434.9,0,0,0,0,0,0,0,0,0,0,1,0,Drama,English,Other,5,2
76.0,273615.0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Horror, Mystery",German,Other,2,1
116.0,316367.3,0,0,0,0,0,0,0,0,0,1,2,1,"Adventure, Drama",English,Paramount,11,1
95.0,2109115.4,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Other,Other,8,2
150.0,13653781.5,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Romance, War",Other,MGM,1,2
68.0,4266806.7,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Family",English,Other,2,1
100.0,4266806.7,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Fantasy, Horror",Other,Other,1,0
105.0,20006865.7,0,0,0,0,0,0,0,0,0,0,0,0,Drama,German,Other,2,0
98.0,3182910.4,0,0,0,0,0,0,0,0,0,1,0,0,Drama,English,Other,10,1
124.0,2162032.3,0,0,0,0,0,0,0,0,0,5,1,0,"Drama, Romance",Other,MGM,5,0
82.0,6271680.4,0,0,0,0,0,0,0,0,0,3,1,1,"Drama, Romance",English,Other,11,1
80.0,6128736.1,0,0,0,0,0,0,0,0,0,0,1,0,"Drama, Romance, Sci-Fi",English,Other,1,0
95.0,7115912.4,0,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance, Thriller",English,MGM,12,0
70.0,3059842.3,0,0,0,0,0,0,0,0,0,0,1,0,"Comedy, Romance",Other,Other,10,0
82.0,20203036.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,10,0
102.0,6634278.4,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,11,2
70.0,1545682.7,0,0,0,0,0,0,0,0,0,1,0,0,"Drama, Romance",English,Other,11,0
95.0,16029944.9,0,0,0,0,0,0,0,0,0,1,2,2,"Adventure, Comedy, Drama",English,Other,7,1
