duration,avg_vote,votes,revenue_with_CPI,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published
88.0,6.1,527.0,55484317.0,175700.3,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama",English,Other,11
59.0,6.4,859.0,331523495.5,3013850.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,10
77.0,6.1,218.0,4139975.0,521727.6,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, History, War",English,Other,11
50.0,4.6,554.0,223938744.3,5598468.6,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,4
300.0,7.4,814.0,48986600.3,10802441.1,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Crime",French,Other,1
60.0,6.5,162.0,162029916.9,5063434.9,0,0,0,0,0,0,0,0,0,0,1,0,Drama,English,Other,5
76.0,8.1,51644.0,133934.5,273615.0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Horror, Mystery",German,Other,2
116.0,7.0,1671.0,154861.8,316367.3,0,0,0,0,0,0,0,0,0,1,2,1,"Adventure, Drama",English,Paramount,11
95.0,6.9,160.0,63273461.5,2109115.4,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Other,Other,8
150.0,7.2,2935.0,156739830.8,13653781.5,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Romance, War",Other,MGM,1
68.0,8.3,101619.0,459381.5,4266806.7,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Family",English,Other,2
100.0,8.1,9322.0,42668067.2,4266806.7,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Fantasy, Horror",Other,Other,1
105.0,6.5,331.0,7278861.5,20006865.7,0,0,0,0,0,0,0,0,0,0,0,0,Drama,German,Other,2
98.0,6.7,676.0,346555.3,3182910.4,0,0,0,0,0,0,0,0,0,1,0,0,Drama,English,Other,10
124.0,7.0,466.0,26802052.8,2162032.3,0,0,0,0,0,0,0,0,0,5,1,0,"Drama, Romance",Other,MGM,5
82.0,7.0,4426.0,200711.6,6271680.4,0,0,0,0,0,0,0,0,0,3,1,1,"Drama, Romance",English,Other,11
80.0,5.9,116.0,8844677.4,6128736.1,0,0,0,0,0,0,0,0,0,0,1,0,"Drama, Romance, Sci-Fi",English,Other,1
95.0,7.8,2771.0,27574160.6,7115912.4,0,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance, Thriller",English,MGM,12
70.0,6.8,245.0,15672797.1,3059842.3,0,0,0,0,0,0,0,0,0,0,1,0,"Comedy, Romance",Other,Other,10
82.0,6.3,189.0,26514227.6,20203036.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,10
102.0,6.2,618.0,347344418.1,6634278.4,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,11
70.0,6.4,660.0,4689149.6,1545682.7,0,0,0,0,0,0,0,0,0,1,0,0,"Drama, Romance",English,Other,11
95.0,8.2,91960.0,467456.1,16029944.9,0,0,0,0,0,0,0,0,0,1,2,2,"Adventure, Comedy, Drama",English,Other,7
80.0,7.0,138.0,69468883.6,16029944.9,0,0,0,0,0,0,0,0,0,1,0,0,Drama,English,Universal,12
113.0,6.9,206.0,4730285.1,11456268.6,0,0,0,0,0,0,0,0,0,0,0,0,Drama,French,Other,4
78.0,6.5,510.0,26050831.4,5418572.9,0,0,0,0,0,0,0,0,0,0,0,0,Western,English,Other,12
110.0,6.8,279.0,12226523.5,1788823.8,0,0,0,0,0,0,0,0,0,0,0,0,Western,English,Paramount,2
68.0,6.5,324.0,25817796.6,15490678.0,0,0,0,0,0,0,0,0,0,2,0,0,"Crime, Drama, Horror",English,Other,7
95.0,6.4,214.0,154906779.7,67126271.2,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, War, Drama",English,Warner,10
70.0,5.9,446.0,21910703.4,7728127.1,0,0,0,0,0,0,0,0,0,1,2,0,"Comedy, Romance",English,Other,4
58.0,7.5,1328.0,11325406.8,6420025.4,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Romance",English,Other,4
250.0,6.9,247.0,11194975.3,22375423.7,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Comedy, Crime",Russian,Other,10
66.0,5.9,116.0,16144728.8,8657567.8,0,0,0,0,0,0,0,0,0,1,0,0,"Romance, Drama",English,Twentieth Century Fox,5
75.0,6.7,727.0,16641773.0,7976924.6,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Other,9
118.0,7.1,348.0,5713613.5,4640338.7,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Crime, Drama",English,Other,12
63.0,6.6,141.0,17550648.1,13162986.1,0,0,0,0,0,0,0,0,0,2,0,0,"Comedy, Romance",English,Paramount,12
135.0,6.8,248.0,45631685.1,7406373.5,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Fantasy",French,Other,7
60.0,6.4,409.0,17550648.1,2661836.6,0,0,0,0,0,0,0,0,0,3,1,0,Comedy,English,Other,3
240.0,8.1,6383.0,18037801.4,8478770.8,0,0,0,0,0,0,0,0,0,1,0,0,"Biography, Drama, History",Other,Other,12
70.0,5.8,457.0,21938310.1,7599430.6,0,0,0,0,0,0,0,0,0,2,0,1,"Comedy, Drama",English,Other,6
63.0,7.8,6657.0,84962.7,3808490.6,0,0,0,0,0,0,0,0,0,3,0,0,"Drama, Horror, Romance",English,MGM,6
144.0,7.5,10417.0,18200022.1,9266742.2,0,0,0,0,0,0,0,0,0,4,0,2,"Drama, Romance, War",English,Paramount,1
68.0,3.3,102.0,63182333.2,35101296.2,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, History, War",English,MGM,1
88.0,6.5,382.0,10582111.7,5149014.1,0,0,0,0,0,0,0,0,0,2,1,0,Comedy,English,Other,1
72.0,8.2,23629.0,477899.5,15979698.9,0,0,0,0,0,0,0,0,0,2,3,3,"Comedy, Romance",English,Other,1
76.0,7.5,3596.0,16530110.7,4737394.8,0,0,0,0,0,0,0,0,0,1,0,0,"Crime, Drama, Film-Noir",English,Paramount,9
80.0,6.1,598.0,21306265.2,1331641.6,2,0,0,0,0,0,0,0,0,1,2,0,"Drama, Romance, War",Other,Other,10
85.0,6.8,1398.0,9783126.8,5983509.5,1,1,0,0,0,0,0,0,0,2,0,1,Drama,English,MGM,9
110.0,8.2,42209.0,19512987.9,3160429.3,0,0,0,0,0,0,0,0,0,0,1,1,"Biography, Drama, History",French,Other,10
97.0,6.8,110.0,124286546.9,17755221.0,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, History, Romance",Other,Other,10
80.0,6.2,952.0,105039887.3,6889025.7,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,MGM,5
66.0,6.2,139.0,16352558.5,4598602.2,0,1,0,0,0,0,0,0,0,5,1,1,"Crime, Drama",English,MGM,3
90.0,6.4,778.0,77377253.0,6729228.8,0,0,0,0,0,0,0,0,0,1,0,0,"Drama, Mystery, Thriller",English,MGM,12
86.0,6.4,313.0,31959397.8,8877610.5,0,0,0,0,0,0,0,0,0,3,0,1,Drama,English,MGM,8
72.0,5.2,112.0,70434961.6,9445777.6,0,0,0,0,0,0,0,0,0,2,1,0,Western,English,Other,3
135.0,6.8,135.0,40925784.4,17843997.1,0,0,0,0,0,0,0,0,0,1,1,1,Comedy,French,Other,4
83.0,6.9,292.0,15216224.4,5024727.5,0,0,0,0,0,0,0,0,0,1,1,0,Drama,English,MGM,5
84.0,7.2,501.0,42612530.4,12038039.8,1,0,0,0,0,0,0,0,0,0,0,0,"Drama, Romance",English,Twentieth Century Fox,10
65.0,6.7,444.0,53265662.9,17397062.7,0,0,0,0,0,0,0,0,0,3,1,1,"Drama, Romance",English,MGM,5
136.0,8.0,54312.0,7297006.0,21891018.0,3,0,0,0,0,0,0,0,0,1,0,0,"Drama, War",English,Universal,10
97.0,7.6,12459.0,59653024.0,26430923.2,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Musical",English,Paramount,9
85.0,6.5,204.0,145940119.8,72057934.1,0,0,0,0,0,0,0,0,0,0,0,1,"Crime, Drama, Romance",English,Other,9
69.0,6.2,298.0,13718371.3,5126146.7,1,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Romance",English,Other,2
116.0,6.6,733.0,18333.7,17877664.7,0,0,0,0,0,0,0,0,0,1,3,2,"Musical, Romance, Comedy",English,MGM,9
83.0,6.7,435.0,22091685.6,6147727.5,0,0,0,0,0,0,0,0,0,3,0,0,"Drama, Fantasy",English,Warner,11
76.0,5.9,633.0,38199.8,9048287.4,2,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance",English,MGM,1
55.0,7.4,5310.0,3721473.1,1878979.0,0,0,0,0,0,0,0,0,0,4,1,2,Fantasy,French,Other,5
85.0,5.4,135.0,26123281.4,7953736.5,1,1,0,0,0,0,0,0,0,0,1,0,"Drama, Music, Romance",English,Twentieth Century Fox,8
68.0,6.3,852.0,22034958.9,2003178.1,0,0,0,0,0,0,0,0,0,0,1,0,Drama,English,Universal,7
72.0,6.4,148.0,32050849.3,7131314.0,0,0,0,0,0,0,0,0,0,2,0,1,"Drama, Romance, War",English,Other,12
87.0,8.5,152716.0,27703952.9,28705541.9,0,0,0,0,0,0,0,0,0,1,4,4,"Comedy, Drama, Romance",English,Other,8
83.0,7.1,1136.0,85135068.5,30047671.2,0,0,0,0,0,0,0,0,0,2,0,0,"Crime, Drama, Film-Noir",English,Paramount,4
75.0,7.5,42620.0,1697853.7,7111282.2,0,0,0,0,0,0,0,0,0,1,2,1,"Fantasy, Horror",English,Universal,6
104.0,7.2,3761.0,14022246.6,7111282.2,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Horror",Spanish,Universal,3
89.0,6.3,1246.0,16466123.8,6209852.1,0,0,0,0,0,0,0,0,0,3,0,1,"Drama, Romance",English,MGM,6
93.0,6.7,2082.0,240381369.9,5829248.2,2,1,0,0,0,0,0,0,0,5,2,0,"Crime, Drama, Romance",English,MGM,6
119.0,7.0,333.0,11157701.9,3024798.9,0,0,0,0,0,0,0,0,0,1,0,0,Drama,Russian,Other,6
78.0,6.7,137.0,84133479.5,26041315.1,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Drama",English,Twentieth Century Fox,1
70.0,6.4,121.0,30416613.3,10289234.6,1,0,0,0,0,0,0,0,0,1,0,1,"Crime, Drama",English,Sony,5
98.0,7.6,11712.0,242344.5,10717002.7,0,2,0,0,0,0,0,0,0,3,1,0,"Horror, Sci-Fi",English,Paramount,8
72.0,7.1,786.0,29032009.8,11947788.6,2,3,0,0,0,0,0,0,0,6,3,0,Drama,English,MGM,6
82.0,6.7,1955.0,46451273.2,8244394.3,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Romance",German,Other,1
64.0,7.9,39346.0,90937.2,6936573.4,0,0,0,0,0,0,0,0,0,2,3,1,"Drama, Horror",English,MGM,2
79.0,6.1,323.0,57930025.7,15632620.6,0,1,0,0,0,0,0,0,0,1,0,2,Comedy,English,MGM,2
68.0,5.8,357.0,16347254.7,13868367.7,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Romance",English,Sony,3
79.0,6.9,448.0,49734066.0,12461431.9,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,12
68.0,7.3,1909.0,24744205.3,7816310.3,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, War",English,Other,9
68.0,6.4,1312.0,33811125.2,14024694.0,0,1,0,0,0,0,0,0,0,0,1,0,"Comedy, Drama",English,Warner,7
75.0,5.7,138.0,27312421.5,9111584.6,0,0,0,0,0,0,0,0,0,3,0,1,Drama,English,Other,10
73.0,6.4,352.0,27625073.9,14605334.1,0,0,0,0,0,0,0,0,0,2,0,1,"Crime, Drama, Romance",English,Other,5
83.0,6.0,446.0,10623491.0,4404862.1,0,0,0,0,0,0,0,0,0,6,0,0,"Adventure, Drama, Romance",English,MGM,5
72.0,6.3,342.0,179727796.4,27801982.1,0,0,0,0,0,0,0,0,0,0,2,0,Drama,English,Other,4
71.0,6.1,394.0,17595893.0,9916828.6,0,1,0,0,0,0,0,0,0,3,2,0,"Drama, Romance",English,RKO,10
69.0,6.5,177.0,56532989.7,21742941.2,0,0,0,0,0,0,0,0,0,3,0,0,Drama,English,MGM,10
61.0,6.5,257.0,50785469.1,10246604.4,0,1,0,0,0,0,0,0,0,0,0,0,"Comedy, Musical",English,RKO,5
89.0,7.4,9912.0,56909876.3,16559454.9,0,0,0,0,0,0,0,0,0,4,0,2,"Comedy, Musical, Romance",English,Warner,10
89.0,6.8,296.0,53729895.6,10340826.0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama",English,Other,12
113.0,7.0,168.0,75377319.6,10199493.6,0,0,0,0,0,0,0,0,0,3,1,0,"Comedy, Musical, Romance",English,Other,11
66.0,6.0,233.0,67132925.3,5299967.8,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Romance",English,RKO,12
100.0,7.9,75049.0,15334.6,15782126.3,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Horror, Sci-Fi",English,RKO,10
73.0,6.7,110.0,235554123.7,15829237.1,0,0,0,0,0,0,0,0,0,0,0,1,"Action, Adventure",English,Paramount,3
73.0,6.0,113.0,49466366.0,9987494.8,0,0,0,0,0,0,0,0,0,0,0,0,"Horror, Mystery",Spanish,Other,7
73.0,6.7,687.0,61479626.3,26240729.4,0,1,0,0,0,0,0,0,0,0,1,0,"Comedy, Romance",English,RKO,9
65.0,6.0,332.0,51821907.2,4711082.5,0,0,0,0,0,0,0,0,0,3,0,1,"Drama, Romance",English,Other,7
66.0,6.2,215.0,28636341.2,18665977.6,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,Other,1
64.0,6.4,721.0,29592403.5,18210709.8,0,0,0,0,0,0,0,0,0,5,0,3,"Crime, Drama",English,Other,1
68.0,6.1,473.0,5372159.4,2179480.5,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Horror",English,Sony,6
83.0,7.1,272.0,31868742.2,15226429.8,0,0,0,0,0,0,0,0,0,7,0,0,"Comedy, Mystery",English,Twentieth Century Fox,8
73.0,6.4,421.0,21966668.7,7215993.8,0,0,0,0,0,0,0,0,0,6,0,0,"Drama, Romance",English,Other,5
78.0,6.2,484.0,50056688.7,9562193.3,0,0,0,0,0,0,0,0,0,0,4,1,"Adventure, Drama",English,Paramount,1
107.0,7.5,6384.0,123332.0,11836961.4,0,0,0,0,0,0,0,0,0,7,0,1,"Comedy, Musical, Romance",English,RKO,9
75.0,6.5,128.0,40974097.1,11836961.4,0,0,0,0,0,0,0,0,0,2,1,0,"Drama, Music, Romance",English,Other,11
68.0,7.2,4603.0,102435242.8,7398100.9,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Paramount,11
63.0,3.9,161.0,4062.0,5549.2,0,0,0,0,0,0,0,0,0,3,0,0,"Drama, Horror, Sci-Fi",English,Other,1
85.0,6.1,1253.0,56908468.2,16688977.4,0,0,0,0,0,0,0,0,0,6,0,1,"Drama, History, Romance",English,MGM,6
86.0,6.2,268.0,25494993.8,21556927.8,0,0,0,0,0,0,0,0,0,4,0,0,"Comedy, Music",English,Other,1
104.0,7.6,5316.0,75096.4,20487048.6,0,0,0,0,0,0,0,0,0,3,1,0,"Drama, History, Romance",English,Paramount,9
74.0,6.9,634.0,32392300.1,5153813.0,0,0,0,0,0,0,0,0,0,3,0,0,"Comedy, Romance",English,Other,5
78.0,6.4,118.0,28434000.0,8124000.0,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,MGM,5
105.0,6.5,119.0,17091475.4,7591278.7,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Fantasy, Musical",German,Other,7
90.0,6.7,1429.0,31941082.0,25570623.0,0,0,0,0,0,0,0,0,0,1,0,0,"Biography, Drama, Western",English,RKO,11
69.0,5.9,180.0,13761967.2,7857639.3,0,0,0,0,0,0,0,0,0,3,1,0,"Drama, Comedy",English,RKO,12
80.0,6.6,373.0,27457344.3,8190590.2,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Other,7
75.0,7.8,40311.0,230446.4,8812631.1,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Horror, Sci-Fi",English,Universal,5
82.0,6.3,162.0,44393442.6,8739959.0,0,0,0,0,0,0,0,0,0,3,1,0,"Comedy, Music",English,Warner,7
53.0,5.2,927.0,68010754.1,23817082.0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Adventure, Drama",English,Other,6
79.0,7.0,2755.0,52717.2,17757377.0,0,0,0,0,0,0,0,0,0,2,2,0,"Comedy, Drama, Romance",English,Paramount,1
