year,category,nominee,staff,win
2019, Character Voice-Over Performance,The Simpsons,Hank Azaria,False
2019, Character Voice-Over Performance,Family Guy,Alex Borstein,False
2019, Character Voice-Over Performance,When You Wish Upon A Pickle: A Sesame Street Special,Eric Jacobson,False
2019, Character Voice-Over Performance,F Is For Family,Kevin Michael Richardson,False
2019, Directing For A Comedy Series,Barry,Alec Berg,False
2019, Directing For A Comedy Series,Barry,Bill Hader,False
2019, Directing For A Comedy Series,The Big Bang Theory,Mark Cendrowski,False
2019, Directing For A Comedy Series,The Marvelous Mrs. Maisel,Amy Sherman-Palladino,False
2019, Directing For A Comedy Series,The Marvelous Mrs. Maisel,Daniel Palladino,False
2019, Directing For A Variety Series,Documentary Now!,Alex Buono,False
2019, Directing For A Variety Series,Drunk History,Derek Waters,False
2019, Directing For A Variety Series,Last Week Tonight With John Oliver,Paul Pennolino,False
2019, Directing For A Variety Series,The Late Show With Stephen Colbert,Jim Hoskinson,False
2019, Directing For A Variety Series,Who Is America?,Sacha Baron Cohen,False
2019, Lead Actor In A Comedy Series,black-ish,Anthony Anderson,False
2019, Lead Actor In A Comedy Series,Black Monday,Don Cheadle,False
2019, Lead Actor In A Comedy Series,The Good Place,Ted Danson,False
2019, Lead Actor In A Comedy Series,The Kominsky Method,Michael Douglas,False
2019, Lead Actor In A Comedy Series,Schitt's Creek,Eugene Levy,False
2019, Lead Actress In A Comedy Series,Dead To Me,Christina Applegate,False
2019, Lead Actress In A Comedy Series,The Marvelous Mrs. Maisel,Rachel Brosnahan,False
2019, Lead Actress In A Comedy Series,Veep,Julia Louis-Dreyfus,False
2019, Lead Actress In A Comedy Series,Russian Doll,Natasha Lyonne,False
2019, Lead Actress In A Comedy Series,Schitt's Creek,Catherine O'Hara,False
2019, Supporting Actress In A Comedy Series,Veep,Anna Chlumsky,False
2019, Supporting Actress In A Comedy Series,Fleabag,Sian Clifford,False
2019, Supporting Actress In A Comedy Series,Fleabag,Olivia Colman,False
2019, Supporting Actress In A Comedy Series,GLOW,Betty Gilpin,False
2019, Supporting Actress In A Comedy Series,Barry,Sarah Goldberg,False
2019, Supporting Actress In A Comedy Series,The Marvelous Mrs. Maisel,Marin Hinkle,False
2019, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,False
2019, Guest Actor In A Comedy Series,Saturday Night Live,Matt Damon,False
2019, Guest Actor In A Comedy Series,Saturday Night Live,Robert De Niro,False
2019, Guest Actor In A Comedy Series,Veep,Peter MacNicol,False
2019, Guest Actor In A Comedy Series,Saturday Night Live,John Mulaney,False
2019, Guest Actor In A Comedy Series,Saturday Night Live,Adam Sandler,False
2019, Guest Actor In A Comedy Series,The Marvelous Mrs. Maisel,Rufus Sewell,False
2019, Guest Actress In A Comedy Series,Saturday Night Live,Sandra Oh,False
2019, Guest Actress In A Comedy Series,The Good Place,Maya Rudolph,False
2019, Guest Actress In A Comedy Series,Fleabag,Fiona Shaw,False
2019, Guest Actress In A Comedy Series,Fleabag,Kristin Scott Thomas,False
2019, Guest Actress In A Comedy Series,Saturday Night Live,Emma Thompson,False
2019, Narrator,Wonders Of Mexico,Anthony Mendez,False
2019, Narrator,The Many Lives Of Nick Buoniconti,Liev Schreiber,False
2019, Narrator,Queens Of Mystery,Juliet Stevenson,False
2019, Writing For A Comedy Series,Barry,Alec Berg,False
2019, Writing For A Comedy Series,The Good Place,Josh Siegal,False
2019, Writing For A Comedy Series,PEN15,Maya Erskine,False
2019, Writing For A Comedy Series,Russian Doll,Leslye Headland,False
2019, Writing For A Comedy Series,Russian Doll,Allison Silverman,False
2019, Writing For A Comedy Series,Veep,David Mandel,False
2019, Writing For A Variety Series,Documentary Now!,John Mulaney,False
2019, Writing For A Variety Series,Full Frontal With Samantha Bee,Melinda Taub,False
2019, Writing For A Variety Series,Late Night With Seth Meyers,Jermaine Affonso,False
2019, Writing For A Variety Series,The Late Show With Stephen Colbert,Opus Moreschi,False
2019, Writing For A Nonfiction Program,The Case Against Adnan Syed,Amy J. Berg,False
2019, Writing For A Nonfiction Program,Fyre Fraud,Julia Willoughby Nason,False
2019, Writing For A Nonfiction Program,Hostile Planet,Bruce Kennedy,False
2019, Writing For A Nonfiction Program,Our Planet,Huw Cordey,False
2019, Writing For A Nonfiction Program,Wu-Tang Clan: Of Mics And Men,Paul Greenhouse,False
2019, Supporting Actor In A Comedy Series,The Kominsky Method,Alan Arkin,False
2019, Supporting Actor In A Comedy Series,Barry,Anthony Carrigan,False
2019, Supporting Actor In A Comedy Series,Veep,Tony Hale,False
2019, Supporting Actor In A Comedy Series,Barry,Stephen Root,False
2019, Supporting Actor In A Comedy Series,Barry,Henry Winkler,False
2019, Narrator,The Flood,Angela Bassett,False
2019, Narrator,Savage Kingdom,Charles Dance,False
2019, Writing For A Variety Series,Saturday Night Live,Michael Che,False
2019, Comedy Series,The Marvelous Mrs. Maisel,Amy Sherman-Palladino,False
2019, Comedy Series,Russian Doll,Natasha Lyonne,False
2019, Comedy Series,Barry,Alec Berg,False
2019, Comedy Series,The Good Place,Michael Schur,False
2019, Comedy Series,Veep,David Mandel,False
2019, Comedy Series,Schitt's Creek,Eugene Levy,False
2019, Character Voice-Over Performance,Family Guy,Seth MacFarlane,True
2019, Writing For A Nonfiction Program,Anthony Bourdain Parts Unknown,Anthony Bourdain,True
2019, Narrator,Our Planet,Sir David Attenborough,True
2019, Guest Actress In A Comedy Series,The Marvelous Mrs. Maisel,Jane Lynch,True
2019, Guest Actor In A Comedy Series,The Marvelous Mrs. Maisel,Luke Kirby,True
2019, Supporting Actor In A Comedy Series,The Marvelous Mrs. Maisel,Tony Shalhoub,True
2019, Supporting Actress In A Comedy Series,The Marvelous Mrs. Maisel,Alex Borstein,True
2019, Writing For A Comedy Series,Fleabag,Phoebe Waller-Bridge,True
2019, Directing For A Comedy Series,Fleabag,Harry Bradbeer,True
2019, Lead Actor In A Comedy Series,Barry,Bill Hader,True
2019, Lead Actress In A Comedy Series,Fleabag,Phoebe Waller-Bridge,True
2019, Writing For A Variety Series,Last Week Tonight With John Oliver,Dan Gurewitch,True
2019, Directing For A Variety Series,Saturday Night Live,Don Roy King,True
2019, Comedy Series,Fleabag,Phoebe Waller-Bridge,True
2018, Character Voice-Over Performance,Family Guy,Alex Borstein,True
2018, Character Voice-Over Performance,The Simpsons,Dan Castellaneta,False
2018, Character Voice-Over Performance,American Dad!,Seth MacFarlane,False
2018, Character Voice-Over Performance,Family Guy,Seth MacFarlane,False
2018, Character Voice-Over Performance,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,Russi Taylor,False
2018, Directing For A Comedy Series,Atlanta,Donald Glover,False
2018, Directing For A Comedy Series,Atlanta,Hiro Murai,False
2018, Directing For A Comedy Series,Barry,Bill Hader,False
2018, Directing For A Comedy Series,GLOW,Jesse Peretz,False
2018, Directing For A Comedy Series,The Marvelous Mrs. Maisel,Amy Sherman-Palladino,True
2018, Directing For A Comedy Series,Silicon Valley,Mike Judge,False
2018, Directing For A Variety Series,Full Frontal With Samantha Bee,Andre Allen,False
2018, Directing For A Variety Series,Last Week Tonight With John Oliver,Paul Pennolino,False
2018, Directing For A Variety Series,The Late Late Show With James Corden,Tim Mancinelli,False
2018, Directing For A Variety Series,The Late Show With Stephen Colbert,Jim Hoskinson,False
2018, Directing For A Variety Series,Portlandia,Carrie Brownstein,False
2018, Directing For A Variety Series,Saturday Night Live,Don Roy King,True
2018, Lead Actor In A Comedy Series,black-ish,Anthony Anderson,False
