,Title,Genre,Release_date,User_rating,Tagline,Cast
0,No Way Up,"['Azione', 'Horror', 'Thriller']","18 gen, 2024",65,Brace yourself.,"['Colm Meaney', 'Phyllis Logan', 'Sophie McIntosh', 'Will Attenborough', 'Jeremias Amoore', 'Manuel Pacific', 'Grace Nettle', 'James Carroll Jordan', 'David J Biscoe']"
1,Rebel Moon - Parte 2: La sfregiatrice,"['Fantascienza', 'Azione', 'Dramma', 'Avventura']","19 apr, 2024",61,No Tagline,"['Sofia Boutella', 'Michiel Huisman', 'Ed Skrein', 'Djimon Hounsou', 'Bae Doona', 'Staz Nair', 'Elise Duffy', 'Anthony Hopkins', 'Cleopatra Coleman']"
2,Godzilla e Kong - Il nuovo impero,"['Azione', 'Fantascienza', 'Avventura']","28 mar, 2024",67,L'unione fa la forza,"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson']"
3,Kung Fu Panda 4,"['Animazione', 'Azione', 'Famiglia', 'Commedia', 'Fantasy']","21 mar, 2024",72,No Tagline,"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng']"
4,Dune - Parte due,"['Fantascienza', 'Avventura']","28 feb, 2024",83,Lunga vita ai combattenti,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken']"
5,Immaculate,"['Horror', 'Mistero', 'Thriller']","20 mar, 2024",62,Not every intervention is divine.,"['Sydney Sweeney', 'Álvaro Morte', 'Benedetta Porcaroli', 'Dora Romano', 'Giorgio Colangeli', 'Simona Tabasco', 'Giampiero Judica', 'Niccolò Senni', 'Giulia Heathfield Di Renzi']"
6,Spitfire Over Berlin,"['Guerra', 'Azione', 'Storia']","13 mag, 2022",35,One pilot's heroic mission to hell and back.,"['Kris Saddler', 'Tom Gordon', 'David Dobson', 'Vin Hawke']"
7,I tre moschettieri - Milady,"['Avventura', 'Azione', 'Dramma']","14 feb, 2024",65,"L'avventura continua, il caos è assicurato...","['François Civil', 'Vincent Cassel', 'Romain Duris', 'Pio Marmaï', 'Eva Green', 'Lyna Khoudri', 'Louis Garrel', 'Vicky Krieps', 'Jacob Fortune-Lloyd']"
8,Arthur the King,"['Dramma', 'Avventura']","15 mar, 2024",68,An unexpected encounter. An unlikely bond. An unforgettable adventure.,"['Mark Wahlberg', 'Nathalie Emmanuel', 'Simu Liu', 'Ali Suliman', 'Juliet Rylance', 'Bear Grylls', 'Michael Landes', 'Paul Guilfoyle', 'Rob Collins']"
9,Damaged,"['Azione', 'Crime', 'Thriller']","12 apr, 2024",48,No Tagline,"['Samuel L. Jackson', 'Vincent Cassel', 'Gianni Capaldi', 'Kate Dickie', 'John Hannah', 'Laura Haddock', 'Brian McCardie', 'Samantha Coughlan', 'Nicolette McKeown']"
10,Fighter,"['Azione', 'Thriller', 'Guerra']","21 mar, 2024",52,No Tagline,"['Hrithik Roshan', 'Deepika Padukone', 'Anil Kapoor', 'Karan Singh Grover', 'Akshay Oberoi', 'Ashutosh Rana', 'Rishabh Sawhney', 'Sanjeeda Sheikh', 'Sharib Hashmi']"
11,Alienoid,"['Fantascienza', 'Azione', 'Fantasy', 'Avventura']","20 lug, 2022",68,"For ages, aliens have locked up their prisoners in humans bodies.","['Ryu Jun-yeol', 'Kim Woo-bin', 'Kim Tae-ri', 'So Ji-sub', 'Yum Jung-ah', 'Jo Woo-jin', 'Kim Eui-sung', 'Lee Ha-nee', 'Shin Jung-keun']"
12,Madame Web,"['Azione', 'Fantasy']","14 feb, 2024",56,Il suo destino è connesso al loro,"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Kerry Bishé', 'Adam Scott', 'Emma Roberts', 'Mike Epps']"
13,Prendi il volo,"['Animazione', 'Azione', 'Avventura', 'Commedia', 'Famiglia']","07 dec, 2023",75,Benvenute anatre!,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina', 'Carol Kane', 'Keegan-Michael Key', 'Danny DeVito', 'David Mitchell']"
14,Road House,"['Azione', 'Thriller']","21 mar, 2024",70,Take it outside.,"['Jake Gyllenhaal', 'Daniela Melchior', 'Conor McGregor', 'Billy Magnussen', 'Jessica Williams', 'Hannah Love Lanier', 'Joaquim de Almeida', 'B.K. Cannon', 'J. D. Pardo']"
15,Breathe,"['Fantascienza', 'Mistero', 'Thriller']","04 apr, 2024",50,Time is running out.,"['Jennifer Hudson', 'Milla Jovovich', 'Quvenzhané Wallis', 'Common', 'Sam Worthington', 'Raúl Castillo', 'James Saito', 'Dan Martin', 'Madison Latham']"
16,Vite vendute,"['Azione', 'Thriller']","29 mar, 2024",57,No Tagline,"['Franck Gastambide', 'Alban Lenoir', 'Ana Girardot', 'Sofiane Zermani', 'Astrid Whettnall', 'Bakary Diombera', 'Alka Matewa', 'Rabie Kati', 'Joseph Beddelem']"
17,Late Night with the Devil,['Horror'],"19 mar, 2024",73,Do not adjust your set.,"['David Dastmalchian', 'Laura Gordon', 'Ian Bliss', 'Fayssal Bazzi', 'Ingrid Torelli', 'Rhys Auteri', 'Georgina Haig', 'Josh Quong Tart', 'Steve Mouzakis']"
