,Title,Genre,Duration,Release_date,User_rating,Tagline,Description,Directors,Novel,Writers,Screenplay,State,Language,Budget,Revenue,Keywords,Cast
0,,"['Commedia', 'Dramma']",116,,73,,,Sergio Cabrera,,"Humberto Dorado,Jorge Goldenberg,Frank Ramírez",Screenplay not found,Rilasciato, Spagnolo; Castigliano,-,-,"['roommate', 'pastor', 'squatter', 'anarchist', 'house', 'bogotá', 'lawyer', 'revolutionary']","['Fausto Cabrera', 'Frank Ramírez', 'Delfina Guido', 'Vicky Hernández', 'Humberto Dorado', 'Gustavo Angarita', 'Salvatore Basile', 'Rosa Virginia Bonilla', 'Marcela Gallego']"
1,,"['Commedia', 'Fantascienza']",91,,51,,,Yahoo Serious,,Writer not found,"Yahoo Serious,David Roach",Rilasciato, Inglese,24900000.00,5000000.00,"[""rock 'n' roll"", 'atomic bomb', 'nobel prize', 'albert einstein', 'marie curie', 'tasmanian', 'tasmania']","['Yahoo Serious', 'Odile Le Clezio', 'Ian ""Peewee"" Wilson', 'Su Cruickshank', 'John Howard', 'Christian Manon', 'Basil Clarke', 'Adam Bowen', 'Russell Cheek']"
2,Mona Lisa,"['Crime', 'Dramma', 'Romance', 'Thriller']",104,,69,,,Neil Jordan,,Writer not found,"Neil Jordan,David Leland",Rilasciato, Inglese,-,5794184.00,"['london, england', 'prostitute', 'ex-detainee', 'chauffeur', 'hoodlum', 'neo-noir']","['Bob Hoskins', 'Cathy Tyson', 'Michael Caine', 'Robbie Coltrane', 'Clarke Peters', 'Kate Hardie', 'Zoë Nathenson', 'Sammi Davis', 'Joe Brown']"
3,Il santo,"['Thriller', 'Azione', 'Romance', 'Fantascienza', 'Avventura']",112,,61,,,Phillip Noyce,,Writer not found,"Jonathan Hensleigh,Wesley Strick",Rilasciato, Inglese,68000000.00,118100000.00,"['london, england', 'berlin, germany', 'spy', 'based on novel or book', 'gas', 'espionage', 'politics', 'master thief', 'thief', 'scientist', 'the saint', 'action hero']","['Val Kilmer', 'Elisabeth Shue', 'Rade Šerbedžija', 'Henry Goodman', 'Alun Armstrong', 'Michael Byrne', 'Irina Apeksimova', 'Lev Prygunov', 'Charlotte Cornwell']"
4,,"['Dramma', 'Fantasy', 'Horror', 'Thriller', 'Mistero']",131,,55,,,Mick Garris,Stephen King,Writer not found,Screenplay not found,Rilasciato, Inglese,12000000.00,-,"['sheriff', 'nevada', 'highway', 'psychopath', 'serial killer']","['Tom Skerritt', 'Steven Weber', 'Annabeth Gish', 'Charles Durning', 'Matt Frewer', 'Henry Thomas', 'Shane Haboucha', 'Kelly Overton', 'Sylva Kelegian']"
5,Dietro le linee nemiche II - L'asse del male,"['Azione', 'Avventura', 'Thriller']",96,,47,,,James Dodson,,Writer not found,Screenplay not found,Rilasciato, Inglese,-,-,"['nuclear missile', 'soldier']","['Matt Bushell', 'Denis Arndt', 'Ben Cross', 'Keith David', 'Bruce McGill', 'Nicholas Gonzalez', 'Peter Coyote', 'April Grace', 'Glenn Morshower']"
6,,"['Azione', 'Crime', 'Dramma']",98,,39,,,James M. Hausler,,James M. Hausler,Screenplay not found,Rilasciato, Inglese,-,-,"['prison', 'ex-detainee', 'hoodlum']","['Richard Roundtree', 'Robert Loggia', 'Lucie Arnaz', 'Christopher M. Clark', 'James M. Hausler', 'Robert Forster', 'Tyler Parkinson', 'Zev Stern', 'Michael Mandell']"
7,,"['Horror', 'Thriller']",84,,54,,,Gregory Dark,,Dan Madigan,Screenplay not found,Rilasciato, Inglese,8000000.00,18700000.00,"['hotel', 'prisoner', 'eye ball', 'remake', 'murder', 'serial killer', 'religious fundamentalism', 'pro wrestler']","['Glenn Jacobs', 'Christina Vidal', 'Luke Pegler', 'Craig Horner', 'Rachael Taylor', 'Jason Chong', 'Michael J. Pagan', 'Samantha Noble', 'Steven Vidler']"
8,,"['Horror', 'Thriller', 'Mistero']",83,,56,,,Courtney Solomon,Brent Monahan,Courtney Solomon,Screenplay not found,Rilasciato, Inglese,14000000.00,29612137.00,"['witch', 'curse', 'suitor', 'family']","['Donald Sutherland', 'Rachel Hurd-Wood', 'Sissy Spacek', ""James D'Arcy"", 'Gaye Brown', 'Matthew Marsh', 'Susan Almgren', 'Zoe Thorne', 'Vernon Dobtcheff']"
9,"Koda, fratello orso","['Avventura', 'Animazione', 'Famiglia']",85,,73,,,"Robert Walker,Aaron Blaise",,Writer not found,"Steve Bencich,David Hoselton,Lorne Cameron,Ron J. Friedman,Tab Murphy",Rilasciato, Inglese,128000000.00,250397798.00,"['sibling relationship', 'grizzly bear', 'inuit', 'transformation', 'friendship', 'bear', 'sibling rivalry', 'turns into animal', 'unlikely friendship', 'aftercreditsstinger', 'duringcreditsstinger', 'animal lead', 'brother bear', 'bjørne brødre']","['Joaquin Phoenix', 'Jeremy Suarez', 'Jason Raize', 'Rick Moranis', 'Dave Thomas', 'D.B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan', 'Harold Gould']"
